country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Colombia,2009,,,,,,,,,,,,,1.5100992,,,
Colombia,2010,,,,,,,,,,,,,1.5632716,,,
Colombia,2011,,,,,,,,,,,,,1.6345557,,,
Colombia,2012,,,,,,,,,,,,,1.7268431,,,
Colombia,2013,,,,,,,,,,,,,1.8326527,,,
Colombia,2014,,,,,,,,,,,,,1.9045112,,,
Colombia,2015,,,,,,,,,,,,,1.8668191,,,
Colombia,2016,,,,,,,,,,,,,1.8732611,,,
Colombia,2017,,,,,,,,,,,,,1.8282564,,,
Colombia,2018,,,,,,,,,,,,,1.8582549,,,
Colombia,2019,,,,,,,,,,,,,1.9403043,,,
Colombia,2020,,,,,,,,,,,,,1.8808014,,,
Colombia,2021,,,,,,,,,,,,,,1.9104011,,
Colombia,2022,,,,,,,,,,,,,,2.0320575,,
Colombia,2023,,,,,,,,,,,,,,2.0689147,,
Colombia (urban),1980,,,,,,,,,1.1270325,,,,,,,
Colombia (urban),1988,,,,,,,,,,1.2560018,,,,,,
Colombia (urban),1989,,,,,,,,,,1.1223316,,,,,,
Colombia (urban),1991,,,,,,,,,,1.2721509,,,,,,
Comoros,2004,0.68351614,,,,,,,,,,,,,,,
Comoros,2014,,0.78243357,,,,,,,,,,,,,,
Congo,2005,0.36681616,,,,,,,,,,,,,,,
Congo,2011,0.61950976,,,,,,,,,,,,,,,
Costa Rica,1981,,,,,,,,,0.99747646,,,,,,,
Costa Rica,1986,,,,,,,,,1.3045368,,,,,,,
Costa Rica,1989,,,,,,,,,,1.8000884,,,,,,
Costa Rica,1990,,,,,,,,,,1.8281938,,,,,,
Costa Rica,1991,,,,,,,,,,1.6260993,,,,,,
Costa Rica,1992,,,,,,,,,,1.6365776,,,,,,
Costa Rica,1993,,,,,,,,,,1.976567,,,,,,
Costa Rica,1994,,,,,,,,,,2.1361816,,,,,,
Costa Rica,1995,,,,,,,,,,2.060201,,,,,,
Costa Rica,1996,,,,,,,,,,1.9722238,,,,,,
Costa Rica,1997,,,,,,,,,,1.9114343,,,,,,
Costa Rica,1998,,,,,,,,,,2.0147398,,,,,,
Costa Rica,1999,,,,,,,,,,2.055947,,,,,,
Costa Rica,2000,,,,,,,,,,2.0821073,,,,,,
Costa Rica,2001,,,,,,,,,,,2.5743535,,,,,
Costa Rica,2002,,,,,,,,,,,2.4661653,,,,,
Costa Rica,2003,,,,,,,,,,,2.5780797,,,,,
Costa Rica,2004,,,,,,,,,,,2.3776436,,,,,
Costa Rica,2005,,,,,,,,,,,2.313129,,,,,
Costa Rica,2006,,,,,,,,,,,2.3351095,,,,,
Costa Rica,2007,,,,,,,,,,,2.3909101,,,,,
Costa Rica,2008,,,,,,,,,,,2.4878767,,,,,
Costa Rica,2009,,,,,,,,,,,2.7293072,,,,,
Costa Rica,2010,,,,,,,,,,,,2.751112,,,,
Costa Rica,2011,,,,,,,,,,,,2.8916926,,,,
Costa Rica,2012,,,,,,,,,,,,3.0267544,,,,
Costa Rica,2013,,,,,,,,,,,,3.0251255,,,,
Costa Rica,2014,,,,,,,,,,,,2.9970746,,,,
Costa Rica,2015,,,,,,,,,,,,3.061602,,,,
Costa Rica,2016,,,,,,,,,,,,3.1048627,,,,
Costa Rica,2017,,,,,,,,,,,,2.963952,,,,
Costa Rica,2018,,,,,,,,,,,,3.2152708,,,,
Costa Rica,2019,,,,,,,,,,,,2.8767676,,,,
Costa Rica,2020,,,,,,,,,,,,2.681693,,,,
Costa Rica,2021,,,,,,,,,,,,2.824346,,,,
Costa Rica,2022,,,,,,,,,,,,2.780816,,,,
Costa Rica,2023,,,,,,,,,,,,3.1169653,,,,
Costa Rica,2024,,,,,,,,,,,,3.3757772,,,,
Cote d'Ivoire,1985,1.0835825,,,,,,,,,,,,,,,
Cote d'Ivoire,1986,0.70568085,,,,,,,,,,,,,,,
Cote d'Ivoire,1987,0.70813704,,,,,,,,,,,,,,,
Cote d'Ivoire,1988,0.5433461,,,,,,,,,,,,,,,
Cote d'Ivoire,1992,,0.50142825,,,,,,,,,,,,,,
Cote d'Ivoire,1995,,0.38252768,,,,,,,,,,,,,,
Cote d'Ivoire,1998,,0.37093368,,,,,,,,,,,,,,
Cote d'Ivoire,2008,,,0.51699847,,,,,,,,,,,,,
Cote d'Ivoire,2015,,,0.47117555,,,,,,,,,,,,,
Cote d'Ivoire,2018,,,,0.49726507,,,,,,,,,,,,
Cote d'Ivoire,2021,,,,0.4599289,,,,,,,,,,,,
Croatia,1988,,,,,,,,,1.8716217,,,,,,,
Croatia,1998,,4.255296,,,,,,,,,,,,,,
Croatia,1999,,,1.3831441,,,,,,,,,,,,,
Croatia,2000,,,1.5821406,,,,,,,,,,,,,
Croatia,2001,,,1.5490907,,,,,,,,,,,,,
Croatia,2004,,3.4571917,,,,,,,,,,,,,,
Croatia,2008,,2.896893,,,,,,,,,,,,,,
Croatia,2009,,3.1504202,,,,,,,,,,3.7576492,,,,
Croatia,2010,,2.3101168,,,,,,,,,,3.5995755,,,,
Croatia,2011,,,,,,,,,,,,3.4036498,,,,
Croatia,2012,,,,,,,,,,,,3.0385158,,,,
Croatia,2013,,,,,,,,,,,,3.1693223,,,,
Croatia,2014,,,,,,,,,,,,3.2829041,,,,
Croatia,2015,,,,,,,,,,,,3.4252696,,,,
Croatia,2016,,,,,,,,,,,,3.6077316,,,,
Croatia,2017,,,,,,,,,,,,4.0812635,,,,
Croatia,2018,,,,,,,,,,,,4.0595818,,,,
Croatia,2019,,,,,,,,,,,,4.317216,,,,
Croatia,2020,,,,,,,,,,,,4.4846787,,,,
Croatia,2021,,,,,,,,,,,,4.4280114,,,,
Croatia,2022,,,,,,,,,,,,4.563032,,,,
Croatia,2023,,,,,,,,,,,,5.5685406,,,,
Cyprus,2004,,,,,,,,,4.6141305,,,,,,,
Cyprus,2005,,,,,,,,,4.6664658,,,,,,,
Cyprus,2006,,,,,,,,,4.295934,,,,,,,
Cyprus,2007,,,,,,,,,4.2421794,,,,,,,
Cyprus,2008,,,,,,,,,3.8276186,,,,,,,
Cyprus,2009,,,,,,,,,5.0939345,,,,,,,
Cyprus,2010,,,,,,,,,4.9510818,,,,,,,
Cyprus,2011,,,,,,,,,5.4842806,,,,,,,
Cyprus,2012,,,,,,,,,4.4165893,,,,,,,
Cyprus,2013,,,,,,,,,4.325901,,,,,,,
Cyprus,2014,,,,,,,,,4.6303086,,,,,,,
Cyprus,2015,,,,,,,,,4.1258364,,,,,,,
Cyprus,2016,,,,,,,,,4.117006,,,,,,,
Cyprus,2017,,,,,,,,,4.575654,,,,,,,
Cyprus,2018,,,,,,,,,4.747369,,,,,,,
Cyprus,2019,,,,,,,,,5.3982444,,,,,,,
Cyprus,2020,,,,,,,,,5.105331,,,,,,,
Cyprus,2021,,,,,,,,,5.289055,,,,,,,
Cyprus,2022,,,,,,,,,4.8533435,,,,,,,
Cyprus,2023,,,,,,,,,5.052254,,,,,,,
Czechia,1992,,,,,,,,,1.8501534,,,,,,,
Czechia,1996,,,,,,,,,2.5829704,,,,,,,
Czechia,2002,,,,,,,,,2.3310943,,,,,,,
Czechia,2004,,,,,,,,,,3.3267095,,,,,,
Czechia,2005,,,,,,,,,,2.9028826,,,,,,
Czechia,2006,,,,,,,,,,3.6635015,,,,,,
Czechia,2007,,,,,,,,,,3.8295836,,,,,,
Czechia,2008,,,,,,,,,,4.060428,,,,,,
Czechia,2009,,,,,,,,,,4.354284,,,,,,
Czechia,2010,,,,,,,,,,4.0039167,,,,,,
Czechia,2011,,,,,,,,,,3.940023,,,,,,
Czechia,2012,,,,,,,,,,3.9728162,,,,,,
Czechia,2013,,,,,,,,,,3.7794533,,,,,,
Czechia,2014,,,,,,,,,,4.411757,,,,,,
Czechia,2015,,,,,,,,,,4.2546616,,,,,,
Czechia,2016,,,,,,,,,,4.428564,,,,,,
Czechia,2017,,,,,,,,,,4.2874994,,,,,,
Czechia,2018,,,,,,,,,,4.3133197,,,,,,
Czechia,2019,,,,,,,,,,4.891196,,,,,,
Czechia,2020,,,,,,,,,,5.057369,,,,,,
Czechia,2021,,,,,,,,,,5.398986,,,,,,
Czechia,2022,,,,,,,,,,5.089375,,,,,,
Czechia,2023,,,,,,,,,,5.277938,,,,,,
Democratic Republic of Congo,2004,0.08132053,,,,,,,,,,,,,,,
Democratic Republic of Congo,2012,0.23746333,,,,,,,,,,,,,,,
Democratic Republic of Congo,2020,,0.17902969,,,,,,,,,,,,,,
Denmark,1987,,,,,,,,,9.08169,,,,,,,
Denmark,1992,,,,,,,,,8.325412,,,,,,,
Denmark,1995,,,,,,,,,5.4736896,,,,,,,
Denmark,2000,,,,,,,,,5.5999813,,,,,,,
Denmark,2003,,,,,,,,,,6.853246,,,,,,
Denmark,2004,,,,,,,,,,7.0674543,,,,,,
Denmark,2005,,,,,,,,,,7.208244,,,,,,
Denmark,2006,,,,,,,,,,7.0543914,,,,,,
Denmark,2007,,,,,,,,,,7.9696674,,,,,,
Denmark,2008,,,,,,,,,,8.030111,,,,,,
Denmark,2009,,,,,,,,,,9.715779,,,,,,
Denmark,2010,,,,,,,,,,7.245111,,,,,,
Denmark,2011,,,,,,,,,,7.929793,,,,,,
Denmark,2012,,,,,,,,,,8.763665,,,,,,
Denmark,2013,,,,,,,,,,8.20659,,,,,,
Denmark,2014,,,,,,,,,,9.590063,,,,,,
Denmark,2015,,,,,,,,,,7.992835,,,,,,
Denmark,2016,,,,,,,,,,7.949493,,,,,,
Denmark,2017,,,,,,,,,,7.22275,,,,,,
Denmark,2018,,,,,,,,,,7.7212167,,,,,,
Denmark,2019,,,,,,,,,,8.057231,,,,,,
Denmark,2020,,,,,,,,,,8.257171,,,,,,
Denmark,2021,,,,,,,,,,7.27337,,,,,,
Denmark,2022,,,,,,,,,,9.43792,,,,,,
Denmark,2023,,,,,,,,,,7.983386,,,,,,
Djibouti,2002,0.5661626,,,,,,,,,,,,,,,
Djibouti,2012,,1.0135664,,,,,,,,,,,,,,
Djibouti,2013,,,0.7285649,,,,,,,,,,,,,
Djibouti,2017,,,,0.7856059,,,,,,,,,,,,
Dominican Republic,1986,,,,,,,,,2.1574275,,,,,,,
Dominican Republic,1989,,,,,,,,,,0.9307513,,,,,,
Dominican Republic,1992,,,,,,,,,,,1.2581668,,,,,
Dominican Republic,1996,,,,,,,,,,,,1.7863402,,,,
Dominican Republic,1997,,,,,,,,,,,,2.017019,,,,
Dominican Republic,2000,,,,,,,,,,,,,1.9719042,,,
Dominican Republic,2001,,,,,,,,,,,,,1.7381698,,,
Dominican Republic,2002,,,,,,,,,,,,,1.9956671,,,
Dominican Republic,2003,,,,,,,,,,,,,1.5337636,,,
Dominican Republic,2004,,,,,,,,,,,,,1.2555262,,,
Dominican Republic,2005,,,,,,,,,,,,,,1.4913682,,
Dominican Republic,2006,,,,,,,,,,,,,,1.575104,,
Dominican Republic,2007,,,,,,,,,,,,,,1.5470382,,
Dominican Republic,2008,,,,,,,,,,,,,,1.4160082,,
Dominican Republic,2009,,,,,,,,,,,,,,1.5281571,,
Dominican Republic,2010,,,,,,,,,,,,,,1.5101193,,
Dominican Republic,2011,,,,,,,,,,,,,,1.5465012,,
Dominican Republic,2012,,,,,,,,,,,,,,1.5248809,,
Dominican Republic,2013,,,,,,,,,,,,,,1.4777052,,
Dominican Republic,2014,,,,,,,,,,,,,,1.7281737,,
Dominican Republic,2015,,,,,,,,,,,,,,1.9223045,,
Dominican Republic,2016,,,,,,,,,,,,,,2.079724,,
Dominican Republic,2017,,,,,,,,,,,,,,,1.7935705,
Dominican Republic,2018,,,,,,,,,,,,,,,1.8390088,
Dominican Republic,2019,,,,,,,,,,,,,,,1.9714276,
Dominican Republic,2020,,,,,,,,,,,,,,,1.8868058,
Dominican Republic,2021,,,,,,,,,,,,,,,1.6895065,
Dominican Republic,2022,,,,,,,,,,,,,,,1.8049114,
Dominican Republic,2023,,,,,,,,,,,,,,,2.26739,
Dominican Republic,2024,,,,,,,,,,,,,,,2.5336869,
East Timor,2001,0.25867295,,,,,,,,,,,,,,,
East Timor,2007,0.17832841,,,,,,,,,,,,,,,
East Timor,2014,0.24200353,,,,,,,,,,,,,,,
Ecuador,1994,,,,,,,,,,1.2742978,,,,,,
Ecuador,1999,,,,,,,,,,,,,1.189279,,,
Ecuador,2000,,,,,,,,,,,,,,0.8552988,,
Ecuador,2003,,,,,,,,,,,,,,,1.3420959,
Ecuador,2004,,,,,,,,,,,,,,,1.345335,
Ecuador,2005,,,,,,,,,,,,,,,1.6003792,
Ecuador,2006,,,,,,,,,,,,,,,1.6376761,
Ecuador,2007,,,,,,,,,,,,,,,,1.7362835
Ecuador,2008,,,,,,,,,,,,,,,,1.7785633
Ecuador,2009,,,,,,,,,,,,,,,,1.7062681
Ecuador,2010,,,,,,,,,,,,,,,,1.8149818
Ecuador,2011,,,,,,,,,,,,,,,,2.05506
Ecuador,2012,,,,,,,,,,,,,,,,2.176201
Ecuador,2013,,,,,,,,,,,,,,,,1.9940703
Ecuador,2014,,,,,,,,,,,,,,,,2.104943
Ecuador,2015,,,,,,,,,,,,,,,,2.216357
Ecuador,2016,,,,,,,,,,,,,,,,2.286949
Ecuador,2017,,,,,,,,,,,,,,,,2.3108416
Ecuador,2018,,,,,,,,,,,,,,,,2.3006325
Ecuador,2019,,,,,,,,,,,,,,,,2.1557128
Ecuador,2020,,,,,,,,,,,,,,,,2.0884554
Ecuador,2021,,,,,,,,,,,,,,,,2.1484094
Ecuador,2022,,,,,,,,,,,,,,,,2.1229048
Ecuador,2023,,,,,,,,,,,,,,,,2.2171981
Ecuador,2024,,,,,,,,,,,,,,,,2.2275732
Ecuador (urban),1987,,,,,,,,,1.4175063,,,,,,,
Ecuador (urban),1995,,,,,,,,,,,1.3154471,,,,,
Ecuador (urban),1998,,,,,,,,,,,,1.0027171,,,,
Egypt,1990,0.2770988,,,,,,,,,,,,,,,
Egypt,1995,0.10651211,,,,,,,,,,,,,,,
Egypt,1999,,0.2021781,,,,,,,,,,,,,,
Egypt,2004,,,0.46196696,,,,,,,,,,,,,
Egypt,2008,,,0.4885589,,,,,,,,,,,,,
Egypt,2010,,,,0.47456798,,,,,,,,,,,,
Egypt,2012,,,,0.5369434,,,,,,,,,,,,
Egypt,2015,,,,0.59510183,,,,,,,,,,,,
Egypt,2017,,,,0.5738008,,,,,,,,,,,,
Egypt,2019,,,,,0.59893364,,,,,,,,,,,
Egypt,2021,,,,0.5978879,,,,,,,,,,,,
El Salvador,1989,,,,,,,,,1.6068997,,,,,,,
El Salvador,1991,,,,,,,,,1.2241989,,,,,,,
El Salvador,1995,,,,,,,,,1.2947515,,,,,,,
El Salvador,1996,,,,,,,,,1.2902187,,,,,,,
El Salvador,1998,,,,,,,,,1.6201929,,,,,,,
El Salvador,1999,,,,,,,,,1.6167514,,,,,,,
El Salvador,2000,,,,,,,,,,1.5655768,,,,,,
El Salvador,2001,,,,,,,,,,1.5524248,,,,,,
El Salvador,2002,,,,,,,,,,1.5794802,,,,,,
El Salvador,2003,,,,,,,,,,1.6594251,,,,,,
El Salvador,2004,,,,,,,,,,1.492631,,,,,,
El Salvador,2005,,,,,,,,,,1.410234,,,,,,
El Salvador,2006,,,,,,,,,,1.2355542,,,,,,
El Salvador,2007,,,,,,,,,,1.1830658,,,,,,
El Salvador,2008,,,,,,,,,,1.1597956,,,,,,
El Salvador,2009,,,,,,,,,,1.1784354,,,,,,
El Salvador,2010,,,,,,,,,,1.1615616,,,,,,
El Salvador,2011,,,,,,,,,,1.089352,,,,,,
El Salvador,2012,,,,,,,,,,1.1383113,,,,,,
El Salvador,2013,,,,,,,,,,1.1993581,,,,,,
El Salvador,2014,,,,,,,,,,1.1883074,,,,,,
El Salvador,2015,,,,,,,,,,1.177209,,,,,,
El Salvador,2016,,,,,,,,,,1.2813171,,,,,,
El Salvador,2017,,,,,,,,,,1.2902026,,,,,,
El Salvador,2018,,,,,,,,,,1.4080658,,,,,,
El Salvador,2019,,,,,,,,,,1.4460698,,,,,,
El Salvador,2021,,,,,,,,,,1.9508094,,,,,,
El Salvador,2022,,,,,,,,,,1.9769368,,,,,,
El Salvador,2023,,,,,,,,,,2.1017466,,,,,,
Equatorial Guinea,2022,0.8170492,,,,,,,,,,,,,,,
Estonia,1993,,,,,,,,,1.1191764,,,,,,,
Estonia,1995,,0.9095234,,,,,,,,,,,,,,
Estonia,1998,,0.9379994,,,,,,,,,,,,,,
Estonia,2000,,,1.3671399,,,,,,,,,,,,,
Estonia,2001,,,1.2873565,,,,,,,,,,,,,
Estonia,2002,,,1.3037456,,,,,,,,,,,,,
Estonia,2003,,,1.4969325,,,,,,,,,2.458762,,,,
Estonia,2004,,,1.6280873,,,,,,,,,2.5353742,,,,
Estonia,2005,,,,,,,,,,,,2.6719158,,,,
Estonia,2006,,,,,,,,,,,,3.088163,,,,
Estonia,2007,,,,,,,,,,,,3.5592208,,,,
Estonia,2008,,,,,,,,,,,,3.5735178,,,,
Estonia,2009,,,,,,,,,,,,3.5037546,,,,
Estonia,2010,,,,,,,,,,,,3.5377595,,,,
Estonia,2011,,,,,,,,,,,,3.640943,,,,
Estonia,2012,,,,,,,,,,,,3.8447537,,,,
Estonia,2013,,,,,,,,,,,,4.1548448,,,,
Estonia,2014,,,,,,,,,,,,4.8528,,,,
Estonia,2015,,,,,,,,,,,,4.580793,,,,
Estonia,2016,,,,,,,,,,,,4.9954104,,,,
Estonia,2017,,,,,,,,,,,,4.920744,,,,
Estonia,2018,,,,,,,,,,,,5.142885,,,,
Estonia,2019,,,,,,,,,,,,5.863052,,,,
Estonia,2020,,,,,,,,,,,,6.151802,,,,
Estonia,2021,,,,,,,,,,,,6.261242,,,,
Estonia,2022,,,,,,,,,,,,6.096963,,,,
Estonia,2023,,,,,,,,,,,,5.362931,,,,
Eswatini,1994,0.11799274,,,,,,,,,,,,,,,
Eswatini,2000,,0.25991878,,,,,,,,,,,,,,
Eswatini,2009,,0.38869846,,,,,,,,,,,,,,
Eswatini,2016,,0.50624233,,,,,,,,,,,,,,
Ethiopia,1995,,0.21560077,,,,,,,,,,,,,,
Ethiopia,1999,,0.2160454,,,,,,,,,,,,,,
Ethiopia,2004,,0.24869242,,,,,,,,,,,,,,
Ethiopia,2010,,0.41628137,,,,,,,,,,,,,,
Ethiopia,2015,,0.48174387,,,,,,,,,,,,,,
Ethiopia,2021,,0.3373114,,,,,,,,,,,,,,
Ethiopia (rural),1981,0.13882384,,,,,,,,,,,,,,,
Fiji,2002,0.90184766,,,,,,,,,,,,,,,
Fiji,2008,0.89527756,,,,,,,,,,,,,,,
Fiji,2013,0.8121944,,,,,,,,,,,,,,,
Fiji,2019,,0.65394664,,,,,,,,,,,,,,
Finland,1987,,,,,,,,,3.723566,,,,,,,
Finland,1991,,,,,,,,,4.352375,,,,,,,
Finland,1995,,,,,,,,,3.3901205,,,,,,,
Finland,2000,,,,,,,,,4.01531,,,,,,,
Finland,2003,,,,,,,,,,4.765547,,,,,,
Finland,2004,,,,,,,,,,4.6752224,,,,,,
Finland,2005,,,,,,,,,,4.664756,,,,,,
Finland,2006,,,,,,,,,,5.3430147,,,,,,
Finland,2007,,,,,,,,,,5.4186993,,,,,,
Finland,2008,,,,,,,,,,5.72558,,,,,,
Finland,2009,,,,,,,,,,5.380647,,,,,,
Finland,2010,,,,,,,,,,5.6410136,,,,,,
Finland,2011,,,,,,,,,,5.855161,,,,,,
Finland,2012,,,,,,,,,,5.870795,,,,,,
Finland,2013,,,,,,,,,,5.9563117,,,,,,
Finland,2014,,,,,,,,,,5.47584,,,,,,
Finland,2015,,,,,,,,,,5.7864156,,,,,,
Finland,2016,,,,,,,,,,5.6426516,,,,,,
Finland,2017,,,,,,,,,,5.7474546,,,,,,
Finland,2018,,,,,,,,,,6.143492,,,,,,
Finland,2019,,,,,,,,,,6.0041094,,,,,,
Finland,2020,,,,,,,,,,5.3313413,,,,,,
Finland,2021,,,,,,,,,,5.720013,,,,,,
Finland,2022,,,,,,,,,,6.331802,,,,,,
Finland,2023,,,,,,,,,,6.6898303,,,,,,
France,1970,,,,,,,,,2.7500873,,,,,,,
France,1975,,,,,,,,,4.280682,,,,,,,
France,1979,,,,,,,,,4.53038,,,,,,,
France,1984,,,,,,,,,5.0393553,,,,,,,
France,1990,,,,,,,,,4.4812303,,,,,,,
France,1996,,,,,,,,,,5.836174,,,,,,
France,1997,,,,,,,,,,5.701907,,,,,,
France,1998,,,,,,,,,,5.483577,,,,,,
France,1999,,,,,,,,,,5.645798,,,,,,
France,2000,,,,,,,,,,5.6979227,,,,,,
France,2001,,,,,,,,,,5.816752,,,,,,
France,2002,,,,,,,,,,5.4739013,,,,,,
France,2003,,,,,,,,,,,5.532147,,,,,
France,2004,,,,,,,,,,,4.9741216,,,,,
France,2005,,,,,,,,,,,5.1497283,,,,,
France,2006,,,,,,,,,,,5.0323706,,,,,
France,2007,,,,,,,,,,,5.71853,,,,,
France,2008,,,,,,,,,,,6.022723,,,,,
France,2009,,,,,,,,,,,6.739608,,,,,
France,2010,,,,,,,,,,,6.6630716,,,,,
France,2011,,,,,,,,,,,6.663045,,,,,
France,2012,,,,,,,,,,,6.439585,,,,,
France,2013,,,,,,,,,,,6.244076,,,,,
France,2014,,,,,,,,,,,6.372142,,,,,
France,2015,,,,,,,,,,,6.696778,,,,,
France,2016,,,,,,,,,,,6.879382,,,,,
France,2017,,,,,,,,,,,6.5156236,,,,,
France,2018,,,,,,,,,,,6.631988,,,,,
France,2019,,,,,,,,,,,7.1148067,,,,,
France,2020,,,,,,,,,,,7.271269,,,,,
France,2021,,,,,,,,,,,7.841868,,,,,
France,2022,,,,,,,,,,,7.256041,,,,,
France,2023,,,,,,,,,,,7.3534355,,,,,
Gabon,2005,0.9556222,,,,,,,,,,,,,,,
Gabon,2017,,1.740408,,,,,,,,,,,,,,
Gambia,1998,0.2515855,,,,,,,,,,,,,,,
Gambia,2003,,0.40742695,,,,,,,,,,,,,,
Gambia,2010,,,0.53299636,,,,,,,,,,,,,
Gambia,2015,,,,0.5491972,,,,,,,,,,,,
Gambia,2020,,,,0.61313903,,,,,,,,,,,,
Georgia,1996,1.0622692,,,,,,,,,,,,,,,
Georgia,1997,,0.8173778,,,,,,,,,,,,,,
Georgia,1998,,,0.8793915,,,,,,,,,,,,,
Georgia,1999,,,0.69824004,,,,,,,,,,,,,
Georgia,2000,,,0.7041035,,,,,,,,,,,,,
Georgia,2001,,,0.6403256,,,,,,,,,,,,,
Georgia,2002,,,0.7574648,,,,,,,,,,,,,
Georgia,2003,,,0.77561915,,,,,,,,,,,,,
Georgia,2004,,,0.8266774,,,,,,,,,,,,,
Georgia,2005,,,0.78903764,,,,,,,,,,,,,
Georgia,2006,,,0.75615466,,,,,,,,,,,,,
Georgia,2007,,,0.71651745,,,,,,,,,,,,,
Georgia,2008,,,0.7728941,,,,,,,,,,,,,
Georgia,2009,,,0.78433734,,,,,,,,,,,,,
Georgia,2010,,,0.7965736,,,,,,,,,,,,,
Georgia,2011,,,0.85595256,,,,,,,,,,,,,
Georgia,2012,,,0.84566766,,,,,,,,,,,,,
Georgia,2013,,,0.8781423,,,,,,,,,,,,,
Georgia,2014,,,0.90077764,,,,,,,,,,,,,
Georgia,2015,,,0.871526,,,,,,,,,,,,,
Georgia,2016,,,0.8638469,,,,,,,,,,,,,
Georgia,2017,,,1.0213985,,,,,,,,,,,,,
Georgia,2018,,,1.0172752,,,,,,,,,,,,,
Georgia,2019,,,0.9175265,,,,,,,,,,,,,
Georgia,2020,,,0.87637055,,,,,,,,,,,,,
Georgia,2021,,,0.98716325,,,,,,,,,,,,,
Georgia,2022,,,1.0842857,,,,,,,,,,,,,
Georgia,2023,,,1.1109366,,,,,,,,,,,,,
Georgia,2024,,,1.105737,,,,,,,,,,,,,
Germany,1991,,,,,,,,,,,5.11776,,,,,
Germany,1992,,,,,,,,,,,6.0718803,,,,,
Germany,1993,,,,,,,,,,,5.595422,,,,,
Germany,1994,,,,,,,,,,,6.783294,,,,,
Germany,1995,,,,,,,,,,,6.592994,,,,,
Germany,1996,,,,,,,,,,,6.1475263,,,,,
Germany,1997,,,,,,,,,,,5.818949,,,,,
Germany,1998,,,,,,,,,,,6.0959063,,,,,
Germany,1999,,,,,,,,,,,6.912173,,,,,
Germany,2000,,,,,,,,,,,6.5709457,,,,,
Germany,2001,,,,,,,,,,,6.301554,,,,,
Germany,2002,,,,,,,,,,,6.952313,,,,,
Germany,2003,,,,,,,,,,,6.836017,,,,,
Germany,2004,,,,,,,,,,,6.527718,,,,,
Germany,2005,,,,,,,,,,,6.7509494,,,,,
Germany,2006,,,,,,,,,,,6.433629,,,,,
Germany,2007,,,,,,,,,,,6.1694694,,,,,
Germany,2008,,,,,,,,,,,6.2639346,,,,,
Germany,2009,,,,,,,,,,,6.5478444,,,,,
Germany,2010,,,,,,,,,,,6.632458,,,,,
Germany,2011,,,,,,,,,,,6.3050776,,,,,
Germany,2012,,,,,,,,,,,6.7003555,,,,,
Germany,2013,,,,,,,,,,,6.629085,,,,,
Germany,2014,,,,,,,,,,,7.1269627,,,,,
Germany,2015,,,,,,,,,,,7.3627687,,,,,
Germany,2016,,,,,,,,,,,7.8896356,,,,,
Germany,2017,,,,,,,,,,,8.360283,,,,,
Germany,2018,,,,,,,,,,,8.269536,,,,,
Germany,2019,,,,,,,,,,,8.632393,,,,,
Germany,2020,,,,,,,,,,,10.060716,,,,,
Ghana,1987,0.21995997,,,,,,,,,,,,,,,
Ghana,1988,0.20730056,,,,,,,,,,,,,,,
Ghana,1991,,0.20696914,,,,,,,,,,,,,,
Ghana,1998,,0.31707054,,,,,,,,,,,,,,
Ghana,2005,,0.38418585,,,,,,,,,,,,,,
Ghana,2012,,0.5217569,,,,,,,,,,,,,,
Ghana,2016,,0.65726006,,,,,,,,,,,,,,
Greece,1995,,,,,,,,,4.487427,,,,,,,
Greece,2000,,,,,,,,,4.0485077,,,,,,,
Greece,2002,,,,,,,,,,5.040711,,,,,,
Greece,2003,,,,,,,,,,,4.7539687,,,,,
Greece,2004,,,,,,,,,,,5.095331,,,,,
Greece,2005,,,,,,,,,,,4.962029,,,,,
Greece,2006,,,,,,,,,,,5.284138,,,,,
Greece,2007,,,,,,,,,,,5.599997,,,,,
Greece,2008,,,,,,,,,,,5.6288834,,,,,
Greece,2009,,,,,,,,,,,6.050119,,,,,
Greece,2010,,,,,,,,,,,5.3430905,,,,,
Greece,2011,,,,,,,,,,,5.189568,,,,,
Greece,2012,,,,,,,,,,,4.4963465,,,,,
Greece,2013,,,,,,,,,,,4.0671926,,,,,
Greece,2014,,,,,,,,,,,4.1614604,,,,,
Greece,2015,,,,,,,,,,,4.122023,,,,,
Greece,2016,,,,,,,,,,,3.9932513,,,,,
Greece,2017,,,,,,,,,,,3.9081955,,,,,
Greece,2018,,,,,,,,,,,3.4751916,,,,,
Greece,2019,,,,,,,,,,,4.2838893,,,,,
Greece,2020,,,,,,,,,,,4.2805357,,,,,
Greece,2021,,,,,,,,,,,4.3022094,,,,,
Greece,2022,,,,,,,,,,,4.023847,,,,,
Greece,2023,,,,,,,,,,,4.241003,,,,,
Grenada,2018,1.9377701,,,,,,,,,,,,,,,
Guatemala,1986,,,,,,,,,0.6347937,,,,,,,
Guatemala,1989,,,,,,,,,1.0756735,,,,,,,
Guatemala,1998,,,,,,,,,,1.684566,,,,,,
Guatemala,2000,,,,,,,,,,,1.881477,,,,,
Guatemala,2006,,,,,,,,,,,2.0891402,,,,,
Guatemala,2014,,,,,,,,,,,1.4738292,,,,,
